id,hashtag,collected_at,is_relevant
439,#dreamcore,2025-09-24 13:56:05.373844,True
440,#visualeffect,2025-09-24 13:56:05.373846,True
441,#innovation,2025-09-24 13:56:05.373849,True
442,#VitaKari,2025-09-24 13:56:05.373852,True
443,#viral,2025-09-24 13:56:05.373855,True
444,#streetart,2025-09-24 13:56:05.373858,True
445,#satisfying,2025-09-24 13:56:05.373861,True
446,#tricks,2025-09-24 13:56:05.373863,True
447,#transition,2025-09-24 13:56:05.373866,True
448,#wonder,2025-09-24 13:56:05.373869,True
449,#funiture,2025-09-24 13:56:05.373872,True
450,#funny,2025-09-24 13:56:05.373875,True
451,#foruyou,2025-09-24 13:56:05.373878,True
452,#film,2025-09-24 13:56:05.373880,True
453,#hobby,2025-09-24 13:56:05.373883,True
454,#newme,2025-09-24 13:56:05.373886,True
455,#fy,2025-09-24 13:56:05.373889,True
456,#create,2025-09-24 13:56:05.373892,True
457,#trend,2025-09-24 13:56:05.373895,True
458,#creating,2025-09-24 13:56:05.373898,True
459,#inspirational,2025-09-24 13:56:05.373900,True
460,#funkyart,2025-09-24 13:56:05.373903,True
461,#foryou,2025-09-24 13:56:05.373906,True
462,#crafts,2025-09-24 13:56:05.373909,True
463,#art,2025-09-24 13:56:05.373928,True
464,#creativitymaster,2025-09-24 13:56:05.373932,True
465,#acrylic,2025-09-24 13:56:05.373935,True
466,#visualartdesign,2025-09-24 13:56:05.373938,True
467,#creativityuplift,2025-09-24 13:56:05.373940,True
468,#ArtTok,2025-09-24 13:56:05.373943,True
469,#marker,2025-09-24 13:56:05.373946,True
470,#staycurious,2025-09-24 13:56:05.373949,True
471,#education,2025-09-24 13:56:05.373952,True
472,#ideas,2025-09-24 13:56:05.373955,True
473,#artistart,2025-09-24 13:56:05.373958,True
474,#Creatives,2025-09-24 13:56:05.373960,True
475,#arts,2025-09-24 13:56:05.373963,True
476,#feelings,2025-09-24 13:56:05.373966,True
477,#routines,2025-09-24 13:56:05.373969,True
478,#someone,2025-09-24 13:56:05.373972,True
479,#creators,2025-09-24 13:56:05.373975,True
480,#originality,2025-09-24 13:56:05.373977,True
481,#CreativeExpression,2025-09-24 13:56:05.373980,True
482,#cinema,2025-09-24 13:56:05.373983,True
483,#winterfashion,2025-09-24 13:56:05.373986,True
484,#2025,2025-09-24 13:56:05.373989,True
485,#sister,2025-09-24 13:56:05.373992,True
486,#greenscreen,2025-09-24 13:56:05.373994,True
487,#learning,2025-09-24 13:56:05.373997,True
488,#building,2025-09-24 13:56:15.611320,True
489,#build,2025-09-24 13:56:15.611528,True
490,#patrol,2025-09-24 13:56:15.611539,True
491,#handmade,2025-09-24 13:56:15.611543,True
492,#bushcraft,2025-09-24 13:56:15.611546,True
493,#carbuild,2025-09-24 13:56:15.611549,True
494,#woodworking,2025-09-24 13:56:15.611552,True
495,#ford,2025-09-24 13:56:15.611555,True
496,#toyota,2025-09-24 13:56:15.611558,True
497,#cabinlife,2025-09-24 13:56:15.611561,True
498,#buildhacks,2025-09-24 13:56:15.611563,True
499,#mustang,2025-09-24 13:56:15.611566,True
500,#design,2025-09-24 13:56:15.611569,True
501,#cabin,2025-09-24 13:56:15.611572,True
502,#mcyt,2025-09-24 13:56:15.611575,True
503,#racecar,2025-09-24 13:56:15.611578,True
504,#cosplay,2025-09-24 13:56:15.611581,True
505,#mk4,2025-09-24 13:56:15.611584,True
506,#viral,2025-09-24 13:56:15.611586,True
507,#netherportal,2025-09-24 13:56:15.611589,True
508,#v8,2025-09-24 13:56:15.611592,True
509,#wagon,2025-09-24 13:56:15.611595,True
510,#nature,2025-09-24 13:56:15.611598,True
511,#outdoors,2025-09-24 13:56:15.611601,True
512,#survival,2025-09-24 13:56:15.611603,True
513,#dreamcar,2025-09-24 13:56:15.611606,True
514,#widebody,2025-09-24 13:56:15.611609,True
515,#foryou,2025-09-24 13:56:15.611612,True
516,#mechanics,2025-09-24 13:56:15.611615,True
517,#streetwear,2025-09-24 13:56:15.611618,True
518,#mcbuilds,2025-09-24 13:56:15.611620,True
519,#car,2025-09-24 13:56:15.611623,True
520,#drewdirksen,2025-09-24 13:56:15.611626,True
521,#minecraft,2025-09-24 13:56:15.611629,True
522,#star,2025-09-24 13:56:15.611632,True
523,#greenscreen,2025-09-24 13:56:15.611634,True
524,#megabuild,2025-09-24 13:56:15.611637,True
525,#starwars,2025-09-24 13:56:15.611640,True
526,#pour,2025-09-24 13:56:29.327802,True
527,#building,2025-09-24 13:56:29.328009,True
528,#new,2025-09-24 13:56:29.328020,True
529,#home,2025-09-24 13:56:29.328024,True
530,#build,2025-09-24 13:56:29.328027,True
531,#romero,2025-09-24 13:56:29.328030,True
532,#realestate,2025-09-24 13:56:29.328033,True
533,#mississippi,2025-09-24 13:56:29.328036,True
534,#gymrats,2025-09-24 13:56:29.328039,True
535,#hustle,2025-09-24 13:56:29.328065,True
536,#tips,2025-09-24 13:56:29.328072,True
537,#content,2025-09-24 13:56:29.328078,True
538,#blue,2025-09-24 13:56:29.328083,True
539,#newhome,2025-09-24 13:56:29.328088,True
540,#1,2025-09-24 13:56:29.328093,True
541,#tip,2025-09-24 13:56:29.328099,True
542,#mexico,2025-09-24 13:56:29.328104,True
543,#hardworking,2025-09-24 13:56:29.328109,True
544,#job,2025-09-24 13:56:29.328114,True
545,#worklife,2025-09-24 13:56:29.328119,True
546,#oklahoma,2025-09-24 13:56:29.328124,True
